commit,build_after,test_after,build_before,test_before,regressions,fixes,new_passes
f057ff72c4927b42695bfc79e7e9841a7fab4158,Success,Success,Success,Success,0,0,0
80fc53001de1067a896e69c0a74636e07e3a8290,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
e5bebfe4000930d9ef139fa0a50a5bd501201e30,Success,Success,Success,Success,0,0,4
6902296282ba34bdec2bdfe92d71c866f163c009,Success,Success,Success,Success,0,0,2
03804af0cc57266c8c16c0e7186e76c77b831c27,Success,Success,Success,Success,0,0,8
c7ba14f4c6559fe2efcf62c1fbfad47112a83a10,Success,Success,Success,Success,0,0,0
eea2db63fad30dc11c4c8ec6ba434e65a318a50e,Success,Success,Success,Success,0,0,1
84c3c39955d32cc70453b13b941d83f6c1ba3994,Success,Success,Success,Success,0,0,1
5ba445e4b20b45bf5ba2e52b2b95b2025466b903,Success,Success,Success,Success,0,0,0
982122ac52586b57ce98d7581d0b898163d30051,Success,Success,Success,Success,0,0,2
d0224ac11cbd1c76b25eb62bc55442ffcf747e1f,Success,Success,Success,Success,0,0,1
74430ee102676adcaa53af45f268b297305c9116,Success,Success,Success,Success,0,0,0
ebac5de64a55a0ed6140843d4a8a4a9140866fec,Success,Success,Success,Success,0,0,0
6c660a510e83712501cc92d63db07e1c5a156239,Success,Success,Success,Success,0,0,3
8ae094fe0e8b57e049577099e001cbba9902dd3d,Success,Success,Success,Success,0,0,0
850952fde50c99ec316cf858270af259233309f1,Success,Success,Success,Success,0,0,1
6dfdef455a1b88fd161661786552fd3c1426c18c,Success,Success,Success,Success,0,0,1
1146344d1ee3a14cf441920c164a2cac8f28a082,Success,Crash/No Report,Fail,Skipped,0,0,0
32090e150c0daf8d2f6ac8cbd42ccc3e2b1ca293,Success,Success,Success,Success,0,0,0
774a97fac794ba665cdff1a3485f0c09a0e9291d,Success,Success,Success,Success,0,0,0
6ca4fb21c0948301f92cba2ab32dd8b824a8cc01,Success,Success,Success,Success,0,0,0
c8b720ed200408e62ae2bf4da84600071e6cce2e,Success,Crash/No Report,Fail,Skipped,0,0,0
13a34b019fea31b0fbdc1c1a5d44867b3b290ad3,Success,Success,Success,Success,0,0,1408
d798c86bcc4dcab3544354da9294910642129d4f,Success,Success,Success,Success,0,0,0
cc3191b9b0cef60cd31cf73165e8b4a4bdf56c8c,Success,Success,Success,Success,0,0,0
0631be599d9635f05d1144011e73fbfe903f01db,Success,Success,Success,Success,0,0,2
68c2efc7f68cfe19f37453e089b622cb23b402c0,Success,Success,Success,Success,0,0,0
54ddc29fc7d086574b17901032b63516711b499e,Success,Success,Success,Success,0,0,0
f849aed0d585a7954fd18f74a5d178708382a061,Success,Success,Success,Success,0,0,0
662bb70c03b9153f4e19a17dc547d6f60c622a88,Success,Success,Success,Success,0,0,0
18d4f68d98d97149cc678ee3086e41a574ece769,Success,Success,Success,Success,0,0,0
3843d2aa128de29b23784adf697bac24cf814fad,Success,Success,Success,Success,0,0,0
9a6fcd6d627ce634b9c1ded832806465d54ea38d,Success,Success,Success,Success,0,0,6
5d06f29675b1c6828fe0436cea290af54deede41,Success,Success,Success,Success,0,0,0
2cf435ac34d62966995c09945262e28fb6d7e8d0,Success,Success,Success,Success,0,0,0
5297c52e062ddcbae519944de069dd8f008615bf,Success,Success,Success,Success,0,0,1
62bb588dbae4b1c8d84c0ee45a21ce9f0cf7b32b,Success,Success,Success,Success,0,0,2
303fbf7612e6caae74ef3c489ec7714d9cb4b6b4,Success,Success,Success,Success,0,0,7
dc32b36868b7e34e0b004d563a228c0a7a69b29c,Success,Fail,Success,Fail,0,0,1
2426eeb8eeab98ca6a7ad8117e2f03faf8baa58b,Success,Success,Success,Success,0,0,0
52a87ee9fe681f31b8721b67bfa4f20aa07294a7,Success,Success,Success,Success,0,0,0
6cbba63ed9aebbbeb728d2dfe8c241d980a1c488,Success,Success,Success,Success,0,0,0
47be9bb9759685cfdd616c8558709c3e44c9b5b9,Success,Success,Success,Success,0,0,0
